2	1.000000
3	1.000000
4	1.000000
5	1.000000
6	1.000000
7	1.000000
8	1.000000
9	1.000000
10	1.000000
11	1.000000
12	1.000000
13	1.000000
14	1.000000
15	1.000000
16	1.000000
17	1.000000
18	1.000000
19	1.000000
20	1.000000
21	1.000000
22	1.000000
23	1.000000
24	1.000000
25	1.000000
26	1.000000
27	0.999996
28	0.999985
29	1.000073
30	1.000622
31	1.002317
32	1.006134
33	1.013255
34	1.024970
35	1.042563
36	1.067206
37	1.099843
38	1.141099
39	1.191190
40	1.249871
41	1.316406
42	1.389566
43	1.467656
44	1.548577
45	1.629918
46	1.709066
47	1.783324
48	1.850051
49	1.906792
50	1.951406
51	1.982178
52	1.997912
53	1.997989
54	1.982407
55	1.951775
56	1.907284
57	1.850642
58	1.783987
59	1.709770
60	1.630633
61	1.549272
62	1.468304
63	1.390142
64	1.316891
65	1.250253
66	1.191463
67	1.141263
68	1.099907
69	1.067180
70	1.042466
71	1.024822
72	1.013080
73	1.005953
74	1.002152
75	1.000491
76	0.999985
77	0.999936
78	0.999977
79	0.999998
80	1.000001
81	1.000000
82	1.000000
83	1.000000
84	1.000000
85	1.000000
86	1.000000
87	1.000000
88	1.000000
89	1.000000
90	1.000000
91	1.000000
92	1.000000
93	1.000000
94	1.000000
95	1.000000
96	1.000000
97	1.000000
98	1.000000
99	1.000000
100	1.000000
101	1.000000
